state,district,year,fold,first_outbreak_week,peak_week,peak_cases,total_outbreak_weeks,outbreak_threshold,bayesian_trigger_week,xgboost_trigger_week,lead_time_bayesian,lead_time_xgboost,differential_lead,bayesian_threshold,xgboost_threshold
Karnataka,Tumkur,2017,fold_2017,22,25,73.0,3,36.80000000000001,7,5.0,15,17,2.0,3.3578865027000004,0.9053170680999756
Karnataka,Tumkur,2019,fold_2019,5,5,137.0,2,39.6,5,,0,-1,,3.4727898714375,0.9328034520149231
Karnataka,Tumkur,2021,fold_2021,37,37,63.0,1,39.6,37,37.0,0,0,0.0,3.5000603669062498,0.9440284967422485
Maharashtra,Satara,2021,fold_2021,5,5,20.0,4,7.0,5,,0,-1,,2.4339911625625,0.9440284967422485
